Title,Link,Topic,Start,End
"श्रीमद्भगवद्गीता - 7 जनवरी, 2023",https://video1.acharyaprashant.org/courses/2023-05-07/2023-01-14-gita-samagam-part1-1acd4b9/playlist.m3u8,"ज्ञान एक प्रकार की चोट होता है",0:05:00,0:07:58
,,"वृत्ति (संस्कृति ) बनाम मुक्ति (अध्यात्म)",0:14:58,0:21:40
,,"अर्जुन और श्रीकृष्ण संवाद को मन-आत्मा संवाद कहा जाता है.",0:21:40,0:23:04
,,"वेदांत मॉडल",0:33:15,0:34:44
,,"भ्रमित बनाम आत्मस्थ मन",0:35:00,0:37:22
,,"श्रीकृष्ण द्वारा ज्ञान की चोट का आरंभ",0:45:55,0:56:26
,,"ज्ञान की कमजोरी - अज्ञान के हाथ में ज्ञान खिलौना बन जाता है.",0:50:08,0:56:26
,,,,
"श्रीमद्भगवद्गीता - 14 जनवरी, 2023",https://video1.acharyaprashant.org/courses/2023-05-07/2023-01-20-gita-samagam-part1-12b9e3e/playlist.m3u8,"वृत्ति धर्म के मार्ग पर नहीं चलेगी.",0:00:17,0:08:00
,,"प्रकृति, अहंकार और आत्मा",0:08:50,0:20:10
,,"धर्म क्या है और पूजनीय कौन है?",0:19:56,0:22:10
,,"शोक एक दोष है। ",0:22:17,0:28:50
,,"देहभाव और मुक्ति",0:52:39,0:54:19
,,,,
"श्रीमद्भगवद्गीता - 25 जनवरी, 2023",https://video1.acharyaprashant.org/courses/2023-05-07/2023-01-25-gita-samagam-part1-a5eeaba/playlist.m3u8,प्रकृति से सही सम्बन्ध ,0:01:20,0:03:25
,,सच्चाई की ओर पीठ करने से आशय,0.9.25,11.48
,,आत्मा के बारे में ,0:19:50,0:25:55
,,प्रकृति की परिभाषा और व्यक्ति का मूल्य ,0:27:31,0:28:36
,,मृत कौन ?,0:28:04,0:29:15
,,जीव का मूल्य निर्धारण ,0:30:58,0:33:55
,,अहंकार को सन्देश ,0:33:58,0:36:10
,,देह का महत्व और इंसान की कीमत ,0:37:03,0:41:55
,,गाड़ी और चूहें की बोध पूर्ण कहानी ,0:42:07,0:54:25
,,आध्यात्मिक सवाल ,0:54:47,0:57:48
,,ज्ञान अर्जित करने की नियत ,0:59:58,1:05:36
,,आध्यात्मिक आदमी की पहचान ,1:05:40,1:07:18
,,आत्मा और जीवित कहलाने का अधिकार ,1:07:34,1:16:35
,,,,
"श्रीमद्भगवद्गीता - 29 जनवरी, 2023",https://video1.acharyaprashant.org/courses/2023-05-07/2023-01-29-gita-samagam-part1-56b8450/playlist.m3u8,"अहम, आत्मा, प्रकृति के परस्पर भेद और संबंध",0:00:10,0:06:18
,,क्या अर्जुन का शोक करना व्यर्थ है?,0:06:18,0:35:54
,,"अर्जुन का हट, श्रीकृष्ण की करुणा",0:35:54,0:57:00
,,,,
"श्रीमद्भगवद्गीता - 8 फरवरी, 2023",https://video1.acharyaprashant.org/courses/2023-06-17/2023-02-08-gita-samagam-hindi-part1-c0be6dc/playlist.m3u8,"""अर्जुनविषाद योग"" से होते हुए ""सांख्य योग"" से होते हुए ""अर्जुन के तल पर उतरने"" से होते हुए ""कर्मयोग"" तक की यात्रा",0:00:00,0:14:27
,,निष्काम-कर्मयोग का अनुष्ठान भय से मुक्ति प्रदान करता है,0:14:27,0:20:33
,,व्यवसाय-आत्मिका बुद्धि या निश्चय-आत्मिक बुद्धि क्या होती है?,0:20:34,0:27:22
,,[disclaimer] किनको श्रीकृष्ण/गीता की बातें नहीं समझ आएँगी?,0:27:22,1:18:19
,https://video1.acharyaprashant.org/courses/2023-06-17/2023-02-08-gita-samagam-hindi-part2-3355a38/playlist.m3u8,गीता कर्मकाण्ड के प्रति विद्रोह है,0:00,0:27:00
